"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch025", "économie_domestique", "ustensile", "", "feu", "feu"
"ch025", "économie_domestique", "ustensile", "", "feu", "feu"
"ch025", "économie_domestique", "ustensile", "", "feu", "feu"
"ch025", "économie_domestique", "ingrédient", "végétal", "fleurs d'oranger", "fleurs d'oranger"
"ch025", "économie_domestique", "ingrédient", "éparco", "fleurs d'oranger", "fleurs d'oranger"
"ch025", "économie_domestique", "ustensile", "", "fourchette", "fourchette"
"ch025", "économie_domestique", "ustensile", "", "fourneau", "fourneau"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "jaunes"
"ch025", "économie_domestique", "produit", "animal", "jaunes d'œufs", "jaunes"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "jaunes d'œufs"
"ch025", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch025", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch025", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch025", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch025", "économie_domestique", "mets", "", "omelette", "mélange"
"ch025", "économie_domestique", "mets", "", "omelette", "omelette"
"ch025", "économie_domestique", "ingrédient", "végétal", "oseille hachée", "oseille hachée"
"ch025", "économie_domestique", "ingrédient", "végétal", "persil", "persil"
"ch025", "économie_domestique", "ustensile", "", "fourchette", "plat"
"ch025", "économie_domestique", "ustensile", "", "plat", "plat"
"ch025", "économie_domestique", "ustensile", "", "plat", "plat"
"ch025", "économie_domestique", "ustensile", "", "plat", "plat"
"ch025", "économie_domestique", "ingrédient", "éparco", "poivre", "poivre"
"ch025", "économie_domestique", "ingrédient", "éparco", "poivre", "poivre"
"ch025", "économie_domestique", "ustensile", "", "poussier de charbon", "poussier de charbon"
"ch025", "économie_domestique", "ustensile", "", "poêle", "poêle"
"ch025", "économie_domestique", "ustensile", "", "poêle", "poêle"
"ch025", "économie_domestique", "ustensile", "", "sable sec", "sable sec"
"ch025", "économie_domestique", "ingrédient", "légume", "salade", "salade"
"ch025", "économie_domestique", "mets", "", "salade aux œufs", "salade aux œufs"
"ch025", "économie_domestique", "ustensile", "", "saladier", "saladier"
"ch025", "économie_domestique", "mets", "", "sauce au vin", "sauce au vin"
"ch025", "économie_domestique", "ustensile", "", "sciure de bois", "sciure de bois"
"ch025", "économie_domestique", "ingrédient", "éparco", "sel", "sel"
"ch025", "économie_domestique", "ingrédient", "éparco", "sel", "sel"
"ch025", "économie_domestique", "ustensile", "", "son", "son"
"ch025", "économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"ch025", "économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"ch025", "économie_domestique", "mets", "", "œuf sur le plat", "sur le plat"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "tranches"
"ch025", "économie_domestique", "ustensile", "", "un plat de faïence", "un plat de faïence"
"ch025", "économie_domestique", "ingrédient", "éparco", "vanille en poudre", "vanille en poudre"
"ch025", "économie_domestique", "ustensile", "", "vase", "vase"
"ch025", "économie_domestique", "ustensile", "", "vase de terre", "vase de terre"
"ch025", "économie_domestique", "produit", "fabriqué", "verni", "vernis"
"ch025", "économie_domestique", "ingrédient", "éparco", "vinaigre", "vinaigre"
"ch025", "économie_domestique", "mets", "", "œuf à la matelote", "à la matelote"
"ch025", "économie_domestique", "mets", "", "à la coque", "ŒUFS A LA COQUE"
"ch025", "économie_domestique", "mets", "", "œufs à la neige", "ŒUFS A LA NEIGE"
"ch025", "économie_domestique", "mets", "", "œufs en matelote", "ŒUFS EN MATELOTE"
"ch025", "économie_domestique", "mets", "", "sur le plat", "ŒUFS SUR LE PLAT"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œuf"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "œufs durs"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "œufs en neige"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "œufs frais"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs frais"
"ch025", "économie_domestique", "produit", "animal", "œuf", "œufs frais"
"ch025", "économie_domestique", "ingrédient", "animal", "œuf", "œufs à la neige"
"ch025", "économie_domestique", "mets", "", "à la neige", "œufs à la neige"
"ch025", "économie_domestique", "mets", "", "œufs à la coque", "œufs à la coque""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch029", "récit", "produit", "animal", "bétail", "bétail"
"ch029", "récit", "ustensile", "", "couvert", "couvert"
"ch029", "récit", "ustensile", "", "marmite", "marmite"
"ch029", "récit", "ustensile", "", "nappe", "nappe"
"ch029", "récit", "ustensile", "", "poêle", "poêle"
"ch029", "récit", "produit", "animal", "volaille", "volaille"
"ch029", "questionnaire", "", "", "repas", "repas"
"ch029", "industrie", "", "", "", ""
"ch029", "industrie", "", "", "", ""
"ch029", "industrie", "", "", "", ""
"ch029", "industrie", "", "", "", ""
"ch029", "industrie", "", "", "", ""
"ch029", "industrie", "", "", "fromage", ""
"ch029", "industrie", "produit", "laitier", "BEURRE", "BEURRE"
"ch029", "industrie", "", "", "", "Brie"
"ch029", "industrie", "produit", "laitier", "CRÈME", "CRÈME"
"ch029", "industrie", "", "", "", "Camembert"
"ch029", "industrie", "", "", "", "FROMAGE"
"ch029", "industrie", "", "", "", "Neufchâtel"
"ch029", "industrie", "", "", "", "Rollot"
"ch029", "industrie", "", "", "", "aliment"
"ch029", "industrie", "produit", "laitier", "CRÈME", "aliment"
"ch029", "industrie", "produit", "laitier", "baratte", "baratte"
"ch029", "industrie", "ustensile", "", "baratte", "baratte"
"ch029", "industrie", "ustensile", "", "bat-beurre", "bat-beurre"
