"Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch008", "économie_domestique", "ingrédient", "éparco", "épice", "épices"
"ch008", "économie_domestique", "ingrédient", "éparco", "épice", "épices"
"ch008", "sciences_naturelles", "produit", "légume", " choux", "choux"
"ch008", "sciences_naturelles", "produit", "animal", "miel", "miel"
"ch008", "sciences_naturelles", "produit", "légume", "navet", "navets"
"ch008", "sciences_naturelles", "produit", "légume", "radis", "radis""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch009", "composition", "produit", "fruit", "fruit", "fruit""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch010", "récit", "produit", "animal", "volaille", "volaille"
"ch010", "économie_domestique", "produit", "animal", "lapin", "lapins"
"ch010", "économie_domestique", "produit", "animal", "lapin", "lapins"
"ch010", "économie_domestique", "produit", "animal", "lapin", "lapins"
"ch010", "économie_domestique", "produit", "animal", "porc", "porc"
"ch010", "économie_domestique", "produit", "animal", "porc", "porcs"
"ch010", "économie_domestique", "produit", "animal", "porc", "porcs"
"ch010", "économie_domestique", "produit", "animal", "volaille", "volailles"
"ch010", "économie_domestique", "produit", "animal", "volaille", "volailles"
"ch010", "économie_domestique", "produit", "animal", "œuf", "œufs""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch011", "sciences_naturelles", "produit", "légume", "betterave", "betterave"
"ch011", "sciences_naturelles", "produit", "féculent", "blé", "blé"
"ch011", "sciences_naturelles", "produit", "fruit", "fruit", "fruits"
"ch011", "sciences_naturelles", "produit", "féculent", "grain", "grains"
"ch011", "sciences_naturelles", "produit", "légume", "légume", "légumes"
"ch011", "sciences_naturelles", "produit", "légume", "pomme de terre", "pommme de terre"
"ch011", "sciences_naturelles", "produit", "fruit", "vigne", "vigne"
"ch011", "sciences_naturelles", "produit", "végétal", "végétal", "végétaux""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch012", "industrie", "produit", "végétal", "huile", "huile"
"ch012", "industrie", "produit", "animal", "huile", "huile de pied de bœuf"
"ch012", "industrie", "produit", "animal", "suif", "suif""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch013", "récit", "ustensile", "", "cafetière", "cafetière"
"ch013", "récit", "produit", "boisson", "café", "café"
"ch013", "récit", "produit", "boisson", "café", "café"
"ch013", "récit", "produit", "boisson", "café", "café"
"ch013", "récit", "produit", "végétal", "café", "café"
"ch013", "récit", "produit", "végétal", "café", "café"
"ch013", "récit", "produit", "végétal", "café", "café"
"ch013", "récit", "produit", "végétal", "café", "café"
"ch013", "récit", "produit", "végétal", "café", "café"
"ch013", "récit", "produit", "végétal", "caféier", "caféier"
"ch013", "récit", "ustensile", "", "cylindre", "cylindre"
"ch013", "récit", "ingrédient", "", "eau", "eau"
"ch013", "récit", "ingrédient", "", "eau", "eau"
"ch013", "récit", "produit", "fruit", "fruit", "fruits"
"ch013", "récit", "produit", "fruit", "fruit", "fruits"
"ch013", "récit", "produit", "végétal", "grain de café", "grains de café"
"ch013", "récit", "mets", "", "nourriture", "nourriture"
"ch013", "récit", "produit", "animal", "volaille", "volaille"
"ch013", "récit", "produit", "animal", "œuf", "œufs"
"ch013", "questionnaire", "produit", "végétal", "café", "café"
"ch013", "questionnaire", "produit", "boisson", "café noir", "café noir"
"ch013", "questionnaire", "produit", "végétal", "caféier ", "caféier"
"ch013", "morale", "produit", "boisson", "café", "café"
"ch013", "morale", "produit", "boisson", "liqueurs", "liqueurs""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch014", "récit", "produit", "animal", "bœuf", "bœufs"
"ch014", "morale", "produit", "animal", "vache", "vache"
"ch014", "morale", "produit", "animal", "vache", "vache""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch015", "industrie", "produit", "minéral", "sel", "sel"
"ch015", "histoire", "produit", "féculent", "blé", "blé"
"ch015", "histoire", "produit", "féculent", "pain", "pain"
"ch015", "histoire", "produit", "boisson", "vin", "vin""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch016", "récit", "mets", "", "gaufres", " gaufres"
"ch016", "récit", "mets", "", "pâtisserie", "pâtisserie"
"ch016", "économie_domestique", "ingrédient", "éparco", "assaisonements", "assaisonnements"
"ch016", "économie_domestique", "ingrédient", "éparco", "assaisonements", "assaisonnements"
"ch016", "économie_domestique", "mets", "", "pots de crème au café", "au café"
"ch016", "économie_domestique", "mets", "", "tartes aux prunes", "aux prunes"
"ch016", "économie_domestique", "mets", "", "tartes aux abricots", "aux abricots"
"ch016", "économie_domestique", "mets", "", "tartes aux cerises", "aux cerises"
"ch016", "économie_domestique", "mets", "", "beignets", "beignets"
"ch016", "économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "économie_domestique", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "économie_domestique", "mets", "", "biscuits de ménage", "biscuits de ménage"
"ch016", "économie_domestique", "mets", "", "charlottes", "charlottes"
"ch016", "économie_domestique", "mets", "", "croquettes", "croquettes"
"ch016", "économie_domestique", "mets", "", "crème renversée", "crème renversée"
"ch016", "économie_domestique", "mets", "", "entremets sucrés", "entremets sucrés"
"ch016", "économie_domestique", "mets", "", "galettes de ménage", "galettes de ménage"
"ch016", "économie_domestique", "mets", "", "gâteau quatre-quarts", "gâteau quatre-quarts"
"ch016", "économie_domestique", "mets", "", "gâteaux", "gâteaux"
"ch016", "économie_domestique", "mets", "", "gâteaux", "gâteaux"
"ch016", "économie_domestique", "ingrédient", "laitier", "lait", "lait"
"ch016", "économie_domestique", "mets", "", "mets", "mets"
"ch016", "économie_domestique", "mets", "", "mets", "mets"
"ch016", "économie_domestique", "mets", "", "pommes au beurre", "pommes au beurre "
"ch016", "économie_domestique", "mets", "", "pots de crème au chocolat", "pots de crème au chocolat"
"ch016", "économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"ch016", "économie_domestique", "ingrédient", "féculent", "pâte", "pâte"
"ch016", "économie_domestique", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "économie_domestique", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "économie_domestique", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"ch016", "économie_domestique", "ingrédient", "éparco", "sucre", "sucre"
"ch016", "économie_domestique", "mets", "", "tartes", "tartes"
"ch016", "économie_domestique", "mets", "", "tôt-fait", "tôt-fait"
"ch016", "économie_domestique", "mets", "", "tartes à la frangipane", "à la frangipane"
"ch016", "économie_domestique", "mets", "", "tartes à la purée de pommes", "à la purée de pommes"
"ch016", "économie_domestique", "ingrédient", "animal", "œuf", "œufs"
"ch016", "hygiène", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "hygiène", "ingrédient", "laitier", "beurre", "beurre"
"ch016", "hygiène", "ingrédient", "animal", "graisses", "graisses"
"ch016", "hygiène", "ingrédient", "animal", "jaunes d'œufs", "jaunes d'œufs"
"ch016", "hygiène", "mets", "", "pain", "pain"
"ch016", "hygiène", "mets", "", "pâtisseries", "pâtisseries"
"ch016", "hygiène", "mets", "", "pâtisseries", "pâtisseries""Chapter", "Section", "Type", "Subtype", "Key", "Object""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch018", "récit", "produit", "carné", "jambon", "jambons"
"ch018", "récit", "produit", "légume", "légume", "légumes"
"ch018", "récit", "produit", "féculent", "pain", "pain"
"ch018", "récit", "produit", "carné", "viande", "viande""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch019", "récit", "produit", "féculent", "blé", "blé"
"ch019", "récit", "produit", "fruit", "fruit", "fruits""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch020", "économie_domestique", "produit", "fruit", "fruit", "fruits"
"ch020", "économie_domestique", "produit", "fruit", "fruit", "fruits""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch021", "récit", "produit", "fruit", "fruit", "fruits"
"ch021", "sciences_naturelles", "produit", "boisson", "vin", "vin"
"ch021", "agriculture", "produit", "", "produit", "produits""Chapter", "Section", "Type", "Subtype", "Key", "Object"
"ch022", "récit", "produit", "fruit", "Cerises", "Cerises"
"ch022", "récit", "produit", "fruit", "Poires", "Poires"
"ch022", "récit", "produit", "boisson", "cidre", "boisson"
"ch022", "récit", "produit", "fruit", "cerises", "cerises"
"ch022", "récit", "produit", "fruit", "cerisier", "cerisier"
"ch022", "récit", "produit", "boisson", "cidre", "cidre"
"ch022", "récit", "produit", "boisson", "cidre", "cidre"
"ch022", "récit", "mets", "", "confiture", "confiture"
"ch022", "récit", "mets", "", "dessert", "dessert"
"ch022", "récit", "produit", "boisson", "eau-de-vie", "eau-de-vie"
"ch022", "récit", "produit", "fruit", "cerises", "fruit"
"ch022", "récit", "produit", "boisson", "jus de pommes fermenté", "jus de pommes fermenté"
"ch022", "récit", "ingrédient", "fruit", "poires", "poires"
"ch022", "récit", "ingrédient", "fruit", "poires", "poires"
"ch022", "récit", "produit", "fruit", "poiriers", "poiriers"
"ch022", "récit", "produit", "boisson", "poiré", "poiré"
"ch022", "récit", "ingrédient", "fruit", "pommes", "pommes"
"ch022", "récit", "ingrédient", "fruit", "pommes", "pommes"
"ch022", "récit", "produit", "fruit", "pommes", "pommes"
"ch022", "récit", "produit", "fruit", "pommiers", "pommiers"
"ch022", "récit", "mets", "", "pâtisserie", "pâtisserie"
"ch022", "agriculture", "produit", "fruit", "abricotiers", "abricotiers"
"ch022", "agriculture", "produit", "fruit", "arbres fruitiers", "arbres fruitiers"
"ch022", "agriculture", "produit", "fruit", "arbres fruitiers", "arbres fruitiers"
"ch022", "agriculture", "produit", "fruit", "arbres fruitiers", "arbres fruitiers"
"ch022", "agriculture", "produit", "fruit", "bigarreaux", "bigarreaux"
"ch022", "agriculture", "produit", "fruit", "cerises", "cerises"
"ch022", "agriculture", "produit", "fruit", "cerises", "cerises"
"ch022", "agriculture", "produit", "fruit", "cerisier", "cerises"
"ch022", "agriculture", "produit", "fruit", "cerises jaunes", "cerises jaunes"
"ch022", "agriculture", "produit", "fruit", "cerises aigres", "cerises aigres"
"ch022", "agriculture", "produit", "fruit", "cerises douces", "cerises douces"
